Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"94944","1","2021-05-26 18:38:55","0","83","<python><jupyter>","0",""
"94945","1","2021-05-26 19:45:39","0","148","<logistic-regression><auc><roc><validation>","1",""
"94947","2","2021-05-26 20:56:52","0","","","",""
"94951","1","2021-05-27 04:00:18","1","224","<nlp><semi-supervised-learning><pretraining>","1",""
"94952","2","2021-05-27 04:02:02","1","","","",""
"94953","1","2021-05-27 04:40:57","1","27","<machine-learning><deep-learning><algorithms><google><search-engine>","1",""
"94954","1","2021-05-27 05:31:15","0","24","<machine-learning><neural-network><statistics><logistic-regression><svm>","0",""
"94955","2","2021-05-27 07:43:14","2","","","",""
"94956","2","2021-05-27 08:20:36","1","","","",""
"94957","1","2021-05-27 08:34:49","0","25","<deep-learning><time-series><lstm><linear-regression><arima>","0",""
"94958","1","2021-05-27 09:11:15","1","598","<feature-engineering><outlier><transformation>","1",""
"94959","1","2021-05-27 09:11:15","0","45","<deep-learning><backpropagation><recurrent-neural-network>","0",""
"94961","2","2021-05-27 09:54:34","1","","","",""
"94963","1","2021-05-27 10:48:30","1","10","<recommender-system>","0",""
"94964","1","2021-05-27 10:56:00","0","16","<python><classifier><f1score><roc>","0",""
"94967","2","2021-05-27 11:20:50","3","","","",""
"94969","1","2021-05-27 12:25:03","0","1543","<deep-learning><neural-network><accuracy><gpu><inference>","2",""
"94970","1","2021-05-27 12:45:47","0","126","<machine-learning><unsupervised-learning>","1",""
"94971","1","2021-05-27 12:57:40","0","1829","<python><scikit-learn><optimization>","0",""
"94972","1","2021-05-27 13:23:55","0","404","<python><scikit-learn><logistic-regression><spss>","1",""
"94973","1","2021-05-27 13:26:27","0","138","<machine-learning><deep-learning><nlp><tensorflow><transformer>","0",""
"94975","1","2021-05-27 13:57:33","2","141","<machine-learning><deep-learning>","2",""
"94976","2","2021-05-27 14:11:10","1","","","",""
"94977","2","2021-05-27 14:30:45","0","","","",""
"94978","2","2021-05-27 14:39:49","0","","","",""
"94980","2","2021-05-27 14:51:25","0","","","",""
"94981","2","2021-05-27 14:57:49","0","","","",""
"94982","2","2021-05-27 16:19:38","0","","","",""
"94983","1","2021-05-27 16:28:05","0","95","<image-recognition><embeddings><vector-space-models>","1",""
"94984","2","2021-05-27 17:05:36","0","","","",""
"94985","2","2021-05-27 17:06:53","1","","","",""
"94986","1","2021-05-27 17:33:38","2","93","<confusion-matrix><hypothesis-testing>","1",""
"94987","1","2021-05-27 17:33:50","0","35","<nlp><lstm><bert><transformer><attention-mechanism>","0",""
"94988","2","2021-05-27 18:15:50","0","","","",""
"94989","2","2021-05-27 18:54:31","0","","","",""
"94990","1","2021-05-27 19:06:35","0","34","<visualization>","0",""
"94991","1","2021-05-27 19:22:47","1","951","<multiclass-classification><accuracy><auc>","1",""
"94992","1","2021-05-27 22:18:55","0","46","<machine-learning><missing-data>","0",""
"94993","2","2021-05-28 01:29:21","0","","","",""
"94995","2","2021-05-28 03:25:32","1","","","",""
"94996","1","2021-05-28 07:40:09","0","382","<tensorflow><loss-function><data-augmentation>","1",""
"94997","2","2021-05-28 08:08:38","1","","","",""
"94998","2","2021-05-28 08:56:29","0","","","",""
"95000","1","2021-05-28 11:39:44","1","679","<mathematics><distance><opencv>","0",""
"95004","2","2021-05-28 12:02:18","1","","","",""
"95006","2","2021-05-28 13:21:42","1","","","",""
"95007","1","2021-05-28 13:26:16","3","440","<embeddings><knowledge-graph>","1",""
"95009","1","2021-05-28 16:23:15","0","1371","<deep-learning><keras><accuracy><confusion-matrix><kaggle>","1",""
"95010","1","2021-05-28 16:59:22","1","99","<deep-learning><keras><autoencoder><vae>","1",""
"95011","1","2021-05-28 17:17:37","0","74","<scikit-learn><dataset><labels>","0",""
"95012","1","2021-05-28 17:35:31","1","101","<keras><nlp><rnn><language-model>","0",""
"95013","2","2021-05-28 18:22:09","0","","","",""
"95014","1","2021-05-28 18:27:02","1","3236","<pytorch>","1",""
"95015","2","2021-05-28 18:47:11","2","","","",""
"95016","1","2021-05-28 19:14:45","2","308","<class-imbalance><imbalanced-data>","1",""
"95017","2","2021-05-28 19:24:21","1","","","",""
"95018","1","2021-05-28 20:16:55","0","113","<machine-learning><deep-learning><keras>","1",""
"95019","1","2021-05-28 20:45:17","4","3940","<keras><cnn><image-classification><accuracy><data-augmentation>","1",""
"95020","1","2021-05-28 21:29:05","0","54","<machine-learning><classification><labelling>","1",""
"95021","1","2021-05-28 22:50:06","0","55","<nlp><tensorflow><lstm><rnn>","1",""
"95022","2","2021-05-28 22:50:43","1","","","",""
"95024","1","2021-05-29 01:53:18","0","190","<classification><logistic-regression><naive-bayes-classifier>","1",""
"95025","2","2021-05-29 02:42:01","1","","","",""
"95026","2","2021-05-29 05:32:59","2","","","",""
"95027","1","2021-05-29 06:24:51","0","820","<pytorch>","1",""
"95028","1","2021-05-29 10:00:02","0","24","<cnn><semantic-segmentation>","1",""
"95029","1","2021-05-29 10:35:57","0","514","<machine-learning><logistic-regression><machine-learning-model><graphs>","1",""
"95030","2","2021-05-29 10:39:37","0","","","",""
"95031","2","2021-05-29 11:05:25","2","","","",""
"95032","2","2021-05-29 11:11:52","1","","","",""
"95033","1","2021-05-29 12:00:12","1","34","<tensorflow><research>","0",""
"95034","1","2021-05-29 12:11:41","0","38","<deep-learning><tensorflow><cnn><convolutional-neural-network><inceptionresnetv2>","1",""
"95035","2","2021-05-29 14:00:26","2","","","",""
"95036","1","2021-05-29 14:20:12","0","205","<anomaly-detection><normalization><categorical-encoding><binary-classification><imbalanced-data>","1",""
"95038","1","2021-05-29 16:47:37","1","59","<image-classification><convolutional-neural-network><feature-extraction><inceptionresnetv2>","0",""
"95039","1","2021-05-29 18:36:54","1","98","<model-evaluations><binary-classification>","1",""
"95040","1","2021-05-29 20:40:42","0","9","<machine-learning><deep-learning><nlp><transformer>","0",""
"6349","1","2015-07-06 09:40:59","2","401","<machine-learning><data-mining><classification>","2",""
"6350","1","2015-07-06 10:10:34","3","181","<machine-learning><clustering><k-means><anomaly-detection>","4",""
"6354","2","2015-07-06 13:13:24","1","","","",""
"6355","1","2015-07-06 13:42:12","7","1637","<regression><linear-regression>","2",""
"6356","2","2015-07-06 17:11:49","8","","","",""
"6357","2","2015-07-06 20:12:07","0","","","",""
"6358","2","2015-07-06 20:24:27","2","","","",""
"6359","2","2015-07-06 20:42:57","1","","","",""
"6361","1","2015-07-06 21:16:52","1","85","<r><statistics><simulation>","1",""
"6363","2","2015-07-06 21:26:01","0","","","",""
"6364","2","2015-07-06 22:37:50","3","","","",""
"6365","1","2015-07-07 00:21:53","4","3107","<data-mining><python><orange>","2",""
"6366","2","2015-07-07 01:15:04","0","","","",""
"6367","1","2015-07-07 03:23:12","0","54","<machine-learning>","1",""
"6368","2","2015-07-07 03:46:55","1","","","",""
"6369","2","2015-07-07 06:50:32","0","","","",""
"6370","1","2015-07-07 09:23:45","1","560","<apache-hadoop>","0",""
"6372","2","2015-07-07 12:37:14","1","","","",""
"6374","2","2015-07-07 14:45:11","-1","","","",""
"6375","1","2015-07-07 15:33:41","1","47","<machine-learning><classification><feature-selection><confusion-matrix><computer-vision>","0",""
"6376","2","2015-07-07 16:06:07","0","","","",""
"6377","2","2015-07-07 16:10:09","1","","","",""
"6378","1","2015-07-07 16:26:18","4","1152","<r><regression><linear-regression>","2",""
"6380","1","2015-07-07 18:05:23","11","28309","<machine-learning><data-mining><r><predictive-modeling><random-forest>","4",""
"6381","2","2015-07-07 18:07:39","2","","","",""
"6384","1","2015-07-07 23:15:34","4","6840","<machine-learning><classification>","2",""
"6385","2","2015-07-08 00:50:49","4","","","",""
"6386","2","2015-07-08 05:29:27","1","","","",""
"6387","1","2015-07-08 07:35:31","2","520","<nlp><data-formats>","2",""
"6388","2","2015-07-08 07:51:00","1","","","",""
"6389","2","2015-07-08 07:51:17","1","","","",""
"6390","2","2015-07-08 08:47:16","5","","","",""
"6391","1","2015-07-08 12:05:49","9","8925","<machine-learning><r><neural-network><predictive-modeling><forecast>","1",""
"6393","1","2015-07-08 15:22:09","2","860","<data-mining><python><text-mining><predictive-modeling>","1",""
"6394","1","2015-07-08 18:58:25","1","789","<data-cleaning><databases>","2",""
"6395","1","2015-07-08 20:04:16","10","455","<neural-network><gradient-descent>","1",""
"6396","2","2015-07-08 20:18:27","3","","","",""
"6398","1","2015-07-08 20:57:09","2","57","<python><pandas><linear-regression>","0",""
"6399","2","2015-07-09 00:15:00","9","","","",""
"6400","2","2015-07-09 00:59:20","1","","","",""
"6401","2","2015-07-09 01:42:27","1","","","",""
"6403","2","2015-07-09 02:21:55","1","","","",""
"6404","1","2015-07-09 02:29:10","2","54","<algorithms>","1",""
"6405","1","2015-07-09 03:10:08","2","118","<machine-learning>","1",""
"6406","1","2015-07-09 04:44:42","7","4642","<clustering>","3",""
"6408","2","2015-07-09 10:50:15","1","","","",""
"6409","2","2015-07-09 13:25:24","10","","","",""
"6410","1","2015-07-09 16:12:00","2","130","<neural-network><matlab>","1",""
"6412","2","2015-07-09 17:47:34","1","","","",""
"6413","2","2015-07-09 18:15:42","0","","","",""
"6414","1","2015-07-09 20:38:22","2","434","<machine-learning><scalability><scikit-learn><apache-spark>","1",""
"6415","2","2015-07-09 20:44:47","2","","","",""
"6416","2","2015-07-09 21:00:32","4","","","",""
"6417","1","2015-07-09 21:09:15","4","482","<machine-learning><classification>","2",""
"6419","2","2015-07-09 21:23:51","0","","","",""
"6420","1","2015-07-09 21:29:17","5","951","<machine-learning><deep-learning><apache-spark>","2",""
"6421","2","2015-07-09 23:46:29","3","","","",""
"6422","2","2015-07-10 00:23:22","5","","","",""
"6423","1","2015-07-10 03:47:16","1","70","<data-mining>","1",""
"6424","2","2015-07-10 05:34:10","3","","","",""
"6425","2","2015-07-10 10:47:50","4","","","",""
"6427","1","2015-07-10 14:05:44","1","1501","<r>","1",""
"6428","2","2015-07-10 14:32:53","3","","","",""
"6429","2","2015-07-10 15:16:06","0","","","",""
"6430","2","2015-07-10 15:18:36","7","","","",""
"6431","2","2015-07-10 18:33:46","1","","","",""
"6432","2","2015-07-10 22:42:22","1","","","",""
"6433","1","2015-07-11 01:55:26","2","789","<neural-network><matlab>","2",""
"6434","2","2015-07-11 17:12:17","3","","","",""
"6435","1","2015-07-11 18:04:05","11","348","<machine-learning><reinforcement-learning>","2",""
"6437","2","2015-07-11 21:31:45","3","","","",""
"6438","1","2015-07-11 23:08:14","2","121","<machine-learning><optimization>","1",""
"6439","2","2015-07-12 15:57:38","1","","","",""
"6440","1","2015-07-12 19:08:38","5","1611","<deep-learning><multitask-learning>","1",""
"6441","5","2015-07-12 19:59:56","0","","","",""
"6442","4","2015-07-12 19:59:56","0","","","",""
"6444","2","2015-07-13 03:02:48","-2","","","",""
"6446","1","2015-07-13 13:34:51","1","404","<machine-learning><data-mining><r><classification><predictive-modeling>","0",""
"6447","1","2015-07-13 15:39:13","1","155","<machine-learning><data-mining><r><linear-regression>","0",""
"6448","2","2015-07-13 20:19:39","1","","","",""
"66616","1","2020-01-17 07:57:04","2","96","<machine-learning><neural-network><deep-learning><dataset><cross-validation>","1",""
"66617","2","2020-01-17 08:04:20","0","","","",""
"66618","2","2020-01-17 08:09:18","1","","","",""
"66619","1","2020-01-17 08:14:23","1","35","<python><scikit-learn><dataset><linear-regression><visualization>","0",""
"66620","1","2020-01-17 08:18:18","2","490","<machine-learning><python><nlp><data-science-model>","1",""
"66621","2","2020-01-17 08:22:41","2","","","",""
"66622","1","2020-01-17 08:25:43","1","55","<k-nn>","1",""
"66623","2","2020-01-17 08:29:25","2","","","",""
"66624","2","2020-01-17 09:25:44","1","","","",""
"66625","1","2020-01-17 09:30:12","1","72","<machine-learning><python><deep-learning><image-classification><preprocessing>","0",""
"66626","2","2020-01-17 09:32:49","1","","","",""
"66627","1","2020-01-17 09:39:38","1","442","<machine-learning><boosting><ensemble><natural-gradient-boosting><ngboost>","1",""
"66629","1","2020-01-17 10:11:00","2","305","<machine-learning><python><nlp><data-science-model><regex>","1",""
"66632","1","2020-01-17 10:32:17","2","173","<machine-learning><python><classification><text>","1",""
"66633","2","2020-01-17 10:46:48","3","","","",""
"66634","2","2020-01-17 11:28:20","0","","","",""
"66635","1","2020-01-17 11:43:03","3","133","<neural-network><regression><ensemble><multi-output>","1",""
"66636","2","2020-01-17 12:06:54","2","","","",""
"66638","1","2020-01-17 12:23:42","5","7639","<machine-learning><deep-learning><nlp><ocr>","1",""
"66639","2","2020-01-17 12:38:13","1","","","",""
"66640","1","2020-01-17 13:01:06","2","71","<machine-learning><python><scikit-learn><pandas>","1",""
"66641","2","2020-01-17 13:05:24","1","","","",""
"66642","2","2020-01-17 13:49:58","1","","","",""
"66643","1","2020-01-17 14:11:35","1","9","<usecase>","0",""
"66644","1","2020-01-17 14:41:24","4","71","<predictive-modeling><gaussian>","1",""
"66646","1","2020-01-17 15:45:58","3","849","<statistics><image-recognition><probability><distribution>","1",""
"66647","2","2020-01-17 15:58:41","0","","","",""
"66648","1","2020-01-17 17:33:51","3","847","<machine-learning><neural-network><loss-function><gradient-descent><backpropagation>","1",""
"66649","1","2020-01-17 18:29:02","1","33","<python><forecasting>","1",""
"66650","2","2020-01-17 18:37:37","3","","","",""
"66651","1","2020-01-17 19:02:07","13","1370","<predictive-modeling><algorithms>","5",""
"66652","2","2020-01-17 19:06:04","1","","","",""
"66653","2","2020-01-17 19:38:06","2","","","",""
"66654","2","2020-01-17 20:09:49","15","","","",""
"66655","2","2020-01-17 20:33:29","3","","","",""
"66656","2","2020-01-17 20:54:27","2","","","",""
"66657","1","2020-01-17 21:30:28","2","49","<machine-learning><feature-engineering><auc>","2",""
"66658","2","2020-01-17 22:23:34","1","","","",""
"66659","2","2020-01-17 22:51:48","2","","","",""
"66660","1","2020-01-17 23:18:46","4","38","<rnn><gan>","1",""
"66662","1","2020-01-18 01:12:39","3","5430","<machine-learning><linear-regression>","2",""
"66665","2","2020-01-18 08:02:12","0","","","",""
"66666","2","2020-01-18 08:24:55","10","","","",""
"66669","2","2020-01-18 11:26:49","0","","","",""
"66670","2","2020-01-18 12:19:30","1","","","",""
"66671","2","2020-01-18 12:45:30","3","","","",""
"66673","1","2020-01-18 13:46:20","1","18","<python><rnn><scipy>","0",""
"66674","2","2020-01-18 13:46:23","3","","","",""
"66675","2","2020-01-18 14:04:24","1","","","",""
"66676","2","2020-01-18 14:06:36","0","","","",""
"66677","2","2020-01-18 14:22:44","0","","","",""
"66678","2","2020-01-18 14:25:17","1","","","",""
"66679","1","2020-01-18 14:41:53","1","50","<keras><image-classification><overfitting><python-3.x>","0",""
"66682","1","2020-01-18 19:12:33","1","75","<keras><time-series><lstm>","1",""
"66683","1","2020-01-18 20:11:59","1","1413","<tensorflow><object-detection>","1",""
"66685","1","2020-01-18 23:56:27","2","72","<machine-learning><nlp><named-entity-recognition>","2",""
"66687","2","2020-01-19 01:40:42","3","","","",""
"66688","2","2020-01-19 02:02:10","1","","","",""
"66689","2","2020-01-19 02:09:07","1","","","",""
"66691","1","2020-01-19 03:01:03","2","113","<python><pandas><anaconda><statsmodels>","0",""
"66693","1","2020-01-19 04:35:36","2","322","<multiclass-classification><model-evaluations><class-imbalance><sampling><metric>","1",""
"66694","1","2020-01-19 04:55:44","0","263","<pyspark><csv>","1",""
"66696","2","2020-01-19 09:08:12","1","","","",""
"66697","1","2020-01-19 09:13:23","3","3576","<machine-learning><deep-learning><cross-validation><unsupervised-learning><gan>","2",""
"66701","2","2020-01-19 12:46:27","4","","","",""
"66702","1","2020-01-19 12:55:33","2","670","<python><scikit-learn><clustering><k-means><tsne>","1",""
"66703","1","2020-01-19 13:17:57","5","113","<neural-network><deep-learning>","4",""
"66704","1","2020-01-19 14:13:45","1","72","<dataset><predictive-modeling><probability><distribution>","0",""
"66705","1","2020-01-19 14:29:54","0","7965","<scikit-learn><nlp><tfidf>","1",""
"66706","1","2020-01-19 14:38:34","1","61","<nlp><naive-bayes-classifier>","1",""
"66707","1","2020-01-19 15:22:32","1","75","<machine-learning><gradient-descent>","1",""
"66709","2","2020-01-19 15:35:24","1","","","",""
"66710","1","2020-01-19 15:55:17","1","312","<python><pandas><excel>","1",""
"66711","2","2020-01-19 16:15:52","1","","","",""
"66712","1","2020-01-19 16:15:57","3","3023","<machine-learning><linear-regression><mse><rmse>","2",""
"66713","2","2020-01-19 16:33:10","1","","","",""
"66714","2","2020-01-19 16:39:21","0","","","",""
"6449","1","2015-07-13 20:37:28","6","157","<machine-learning>","1",""
"6450","2","2015-07-14 04:24:44","0","","","",""
"6451","2","2015-07-14 06:09:27","1","","","",""
"6452","2","2015-07-14 08:18:37","2","","","",""
"6453","1","2015-07-14 08:45:36","1","208","<machine-learning><regression>","0",""
"6454","2","2015-07-14 09:02:54","1","","","",""
"6455","2","2015-07-14 10:02:18","1","","","",""
"6458","2","2015-07-14 21:30:00","1","","","",""
"6459","1","2015-07-14 22:39:37","4","2754","<machine-learning><neural-network><feature-selection><feature-extraction>","2",""
"6460","1","2015-07-14 23:37:01","2","550","<deep-learning><multiclass-classification><caffe>","0",""
"6461","2","2015-07-15 00:15:11","3","","","",""
"6464","1","2015-07-15 14:15:17","2","262","<machine-learning><classification><social-network-analysis>","2",""
"6466","2","2015-07-15 17:56:33","1","","","",""
"6467","1","2015-07-15 17:59:31","4","146","<machine-learning><classification>","2","0"
"6468","2","2015-07-15 18:11:33","2","","","",""
"6470","2","2015-07-15 18:47:02","1","","","",""
"6471","2","2015-07-15 19:58:35","1","","","",""
"6472","1","2015-07-15 21:06:00","4","839","<python>","2",""
"6473","2","2015-07-16 03:12:41","0","","","",""
"6476","1","2015-07-16 08:08:45","0","820","<machine-learning><data-mining>","1",""
"6478","1","2015-07-16 11:06:49","5","942","<machine-learning>","2",""
"6481","2","2015-07-16 13:52:17","4","","","",""
"6482","2","2015-07-16 14:50:34","2","","","",""
"6484","2","2015-07-16 23:06:47","1","","","",""
"6485","2","2015-07-16 23:55:59","9","","","",""
"6486","1","2015-07-17 08:58:09","2","1791","<data-mining><r><data-cleaning>","1",""
"6487","2","2015-07-17 10:13:29","3","","","",""
"6490","1","2015-07-17 14:17:23","4","67","<parameter>","1",""
"6491","2","2015-07-17 17:39:28","2","","","",""
"6492","1","2015-07-17 18:50:39","3","4888","<r><clustering><k-means>","1",""
"6493","2","2015-07-17 19:30:02","2","","","",""
"6494","1","2015-07-17 21:04:15","4","205","<machine-learning><markov-process>","1",""
"6496","2","2015-07-18 06:29:29","3","","","",""
"6497","2","2015-07-18 16:58:37","2","","","",""
"6498","1","2015-07-18 19:39:18","2","91","<nlp><data-formats>","1",""
"6499","2","2015-07-18 22:10:05","1","","","",""
"6500","1","2015-07-19 02:40:32","2","3865","<r>","2",""
"6503","2","2015-07-19 14:54:16","4","","","",""
"6505","2","2015-07-19 21:10:09","0","","","",""
"6506","1","2015-07-20 04:48:17","12","9647","<nlp><word-embeddings>","2",""
"6507","1","2015-07-20 06:15:34","1","629","<r>","1",""
"6508","1","2015-07-20 08:03:21","25","19075","<clustering><k-means>","3",""
"6509","1","2015-07-20 10:52:59","2","144","<predictive-modeling><time-series>","0",""
"6510","1","2015-07-20 13:42:21","35","58610","<random-forest><cross-validation>","3",""
"6511","1","2015-07-20 15:54:31","1","3821","<linear-regression>","2",""
"6512","2","2015-07-20 15:59:25","0","","","",""
"6513","1","2015-07-20 16:00:53","2","306","<data-mining><ab-test>","2",""
"6514","2","2015-07-20 16:10:10","2","","","",""
"6515","1","2015-07-20 16:15:54","2","3626","<sql><hive>","1",""
"6517","2","2015-07-20 17:19:25","1","","","",""
"6518","2","2015-07-20 17:22:41","5","","","",""
"6519","1","2015-07-20 20:13:53","2","1589","<machine-learning><dataset>","2",""
"6521","2","2015-07-20 20:41:25","11","","","",""
"6522","2","2015-07-20 20:48:56","2","","","",""
"6523","2","2015-07-20 21:51:46","1","","","",""
"6524","2","2015-07-21 03:22:58","2","","","",""
"6527","2","2015-07-21 07:26:51","5","","","",""
"6528","1","2015-07-21 09:39:32","1","455","<python><algorithms>","1",""
"6529","2","2015-07-21 09:59:49","1","","","",""
"6530","1","2015-07-21 12:24:18","2","8423","<machine-learning><python>","2",""
"6531","1","2015-07-21 12:44:33","-1","462","<python><dataset><k-means>","1",""
"6532","2","2015-07-21 13:52:56","1","","","",""
"6533","1","2015-07-21 15:52:30","2","707","<data>","3",""
"6534","2","2015-07-21 17:45:54","5","","","",""
"6535","2","2015-07-21 19:03:19","1","","","",""
"6536","2","2015-07-21 19:20:19","0","","","",""
"6537","2","2015-07-21 21:45:39","6","","","",""
"6538","1","2015-07-22 00:28:50","2","152","<time-series>","0",""
"6543","2","2015-07-22 06:22:54","1","","","",""
"6544","1","2015-07-22 09:21:21","2","2448","<time-series><correlation>","1",""
"6545","2","2015-07-22 11:27:06","2","","","",""
"6546","1","2015-07-22 14:16:22","14","105232","<apache-spark><scala>","2",""
"6547","1","2015-07-22 14:26:58","73","82485","<machine-learning><python><data-mining><anomaly-detection><library>","7",""
"6548","2","2015-07-22 18:14:36","1","","","",""
"6549","2","2015-07-22 18:55:05","37","","","",""
"6550","1","2015-07-22 18:58:53","2","312","<machine-learning><data-mining>","3",""
"6552","2","2015-07-22 21:42:19","17","","","",""
"6553","1","2015-07-22 22:34:43","10","4922","<text-mining><word-embeddings><word2vec>","1",""
"6554","2","2015-07-22 23:27:40","0","","","",""
"6555","1","2015-07-23 03:45:36","12","5814","<python><apache-spark><pyspark><ipython>","3",""
"6556","2","2015-07-23 05:25:56","1","","","",""
"95041","1","2021-05-29 21:01:16","1","196","<deep-learning><neural-network><convolutional-neural-network>","1","0"
"95042","1","2021-05-29 21:16:42","0","27","<machine-learning><python><nlp><scikit-learn><text-classification>","0",""
"95043","2","2021-05-29 22:06:39","1","","","",""
"95045","2","2021-05-29 23:28:06","2","","","",""
"95046","2","2021-05-30 05:24:47","1","","","",""
"95048","1","2021-05-30 06:36:55","0","30","<neural-network><optimization>","1",""
"95052","2","2021-05-30 07:47:32","1","","","",""
"95054","1","2021-05-30 08:06:50","2","599","<deep-learning><tensorflow><lstm><convolutional-neural-network><overfitting>","2",""
"95055","1","2021-05-30 10:22:28","1","266","<deep-learning><data-mining><text-mining><orange><topic-model>","0",""
"95056","2","2021-05-30 11:59:56","1","","","",""
"95057","1","2021-05-30 12:04:45","1","311","<machine-learning><deep-learning><self-study><books>","3",""
"95059","2","2021-05-30 12:29:34","1","","","",""
"95060","1","2021-05-30 12:49:30","1","39","<object-detection>","0",""
"95061","1","2021-05-30 12:51:24","1","178","<machine-learning><neural-network><loss-function><mse>","3",""
"95062","2","2021-05-30 13:41:52","1","","","",""
"95063","2","2021-05-30 15:15:33","0","","","",""
"95064","2","2021-05-30 15:29:08","0","","","",""
"95066","1","2021-05-30 16:19:01","0","79","<bigdata><pyspark>","1",""
"95068","2","2021-05-30 17:41:43","0","","","",""
"95070","2","2021-05-30 17:46:56","0","","","",""
"95071","1","2021-05-30 18:08:45","4","4637","<feature-selection><encoding><one-hot-encoding>","1",""
"95073","2","2021-05-30 19:07:35","0","","","",""
"95076","1","2021-05-30 20:04:10","0","344","<machine-learning><loss-function><distance>","0",""
"95077","1","2021-05-30 20:32:43","1","78","<dataset><feature-selection><categorical-data><encoding>","0",""
"95078","2","2021-05-30 22:39:01","2","","","",""
"95080","1","2021-05-31 03:13:07","1","19","<data-cleaning>","1",""
"95081","1","2021-05-31 03:53:34","1","68","<deep-learning><autoencoder>","1",""
"95082","2","2021-05-31 05:38:04","0","","","",""
"95083","1","2021-05-31 06:05:25","1","30","<linear-regression><dimensionality-reduction>","0",""
"95084","1","2021-05-31 06:19:05","0","422","<machine-learning><deep-learning><data-science-model>","1",""
"95085","2","2021-05-31 07:01:04","1","","","",""
"95086","1","2021-05-31 07:13:23","0","22","<tensorflow><predictive-modeling>","0",""
"95087","2","2021-05-31 07:15:36","1","","","",""
"95088","2","2021-05-31 07:40:58","2","","","",""
"95089","1","2021-05-31 07:47:45","0","18","<deep-learning><classification>","0",""
"95090","2","2021-05-31 07:51:51","1","","","",""
